Month,Sales,Ad_Spend,Discount_Rate
2015-01-31,305.9283295806052,182,6
2015-02-28,304.5731428096493,131,8
2015-03-31,297.7191052326191,172,13
2015-04-30,247.5133496630094,94,16
2015-05-31,258.04578658976794,186,18
2015-06-30,253.11350976464692,151,6
2015-07-31,250.06508521775086,140,14
2015-08-31,186.2931299985015,100,13
2015-09-30,249.63949581633602,182,14
2015-10-31,276.280429755021,162,9
2015-11-30,284.13004533126605,166,6
2015-12-31,310.2290285168018,154,8
2016-01-31,292.75126243910887,154,16
2016-02-29,330.62931038925257,167,19
2016-03-31,392.8364528272919,196,16
2016-04-30,339.17076112553985,179,11
2016-05-31,357.7373960457368,183,16
2016-06-30,309.657448015575,103,17
2016-07-31,262.1746506925426,82,12
2016-08-31,199.91976190447738,101,19
2016-09-30,276.33351464889176,132,7
2016-10-31,230.76279140557043,81,18
2016-11-30,332.4321662517037,167,5
2016-12-31,370.1885487083004,187,8
2017-01-31,333.2618945901923,109,6
2017-02-28,345.6691056942079,117,12
2017-03-31,359.62491605514333,81,8
2017-04-30,375.015540480136,143,6
2017-05-31,356.42503579950005,139,18
2017-06-30,326.0366597188348,100,10
2017-07-31,365.36547966647976,112,10
2017-08-31,290.78165779727266,155,14
2017-09-30,295.33361974518965,137,8
2017-10-31,307.54199798625774,101,10
2017-11-30,367.20833924794596,187,17
2017-12-31,410.388587455756,168,19
2018-01-31,431.4923082919122,128,6
2018-02-28,442.1996605422841,170,14
2018-03-31,421.6747442349453,138,16
2018-04-30,441.9372676939493,121,6
2018-05-31,405.88677999203634,171,14
2018-06-30,366.1597329112622,139,18
2018-07-31,351.22439641875394,159,8
2018-08-31,308.8844913504046,94,18
2018-09-30,350.90536817287546,141,19
2018-10-31,337.5472539553941,141,19
2018-11-30,354.45134477490046,126,12
2018-12-31,386.62647099246533,141,18
2019-01-31,445.19352943729723,130,11
2019-02-28,465.7876723652973,187,16
2019-03-31,477.4899495049758,134,13
2019-04-30,451.4561416064031,195,18
2019-05-31,431.36508734945653,143,12
2019-06-30,392.52815255652206,82,9
2019-07-31,387.85183371337763,180,17
2019-08-31,455.01267610650547,130,6
2019-09-30,322.9051925689492,86,19
2019-10-31,400.2167552323492,100,9
2019-11-30,410.28895708691687,152,12
2019-12-31,420.7242501698351,118,14
